turismoi_slug_place|turismoi_city_name|turismoi_country|turismoi_latitude|turismoi_longitude|travelC_provider_code|travelC_city_name|travelC_country|travelC_latitude|travelC_longitude
tepic|Tepic|MEXICO (MX)|NULL|NULL|TPQ-1|Tepic|TPQ|21.5041651|-104.89458869999999
cuauhtemoc|Cuauhtémoc|MEXICO (MX)|NULL|NULL|UAC-1|Cuauhtemoc|MEX|28.406359|-106.86540660000003
cambados|Cambados|SPAIN (ES)|42.505|-8.80782|VGO80|Cambados|VGO|42.513737|-8.814517
paraiso|Paraíso|MEXICO (MX)|NULL|NULL|VIA-3|Paraiso|VSA|18.356480657859535|-93.2183074951172
tuxpan|Tuxpan|MEXICO (MX)|NULL|NULL|VRA-1|Tuxpan|TAM|20.9561149|-97.40633509999998
torremolinos|Torremolinos|SPAIN (ES)|NULL|NULL|AGP-10|Torremolinos|AGP|36.622554|-4.499477
benalmadena|Benalmádena|SPAIN (ES)|NULL|NULL|AGP-15|Benalmadena|AGP|36.59254350785544|-4.572775442353418
fuengirola|Fuengirola|SPAIN (ES)|NULL|NULL|AGP-20|Fuengirola|AGP|36.54|-4.63
marbella|Marbella|SPAIN (ES)|NULL|NULL|AGP-30|Marbella|AGP|36.510071|-4.882447
nerja|Nerja|SPAIN (ES)|NULL|NULL|AGP-45|Nerja|AGP|36.74988847598359|-3.8843536376953125
estepona|Estepona|SPAIN (ES)|NULL|NULL|AGP-50|Estepona|AGP|36.43012234551579|-5.158081054687501
torrevieja|Torrevieja|SPAIN (ES)|NULL|NULL|ALC-10|Torrevieja|MJV|38.03991822343685|-0.7415693427901717
javea|Javea|SPAIN (ES)|NULL|NULL|ALC-20|Javea|ALC|38.789011|0.166081
denia|Denia|SPAIN (ES)|NULL|NULL|ALC-24|Denia|ALC|38.838799|0.105056
calpe|Calpe|SPAIN (ES)|NULL|NULL|ALC-57|Calpe|ALC|38.645612032803115|0.04691916812407726
benidorm|Benidorm|SPAIN (ES)|NULL|NULL|BEN-60|Benidorm|ALC|38.535917|-0.124128
castellon-de-la-plana|Castellón de la Plana|SPAIN (ES)|39.9863|-0.0513|CAS-99|Castellón de la Plana|CDT|39.986356|-0.051325
almunecar|Almuñécar|SPAIN (ES)|NULL|NULL|CTR-10|Almuñécar|AGP|36.734473|-3.68902
isla-mujeres|Isla Mujeres|MEXICO (MX)|NULL|NULL|CUN-50|Isla Mujeres|CUN|21.2366946|-86.73576789999998
gandia|Gandía|SPAIN (ES)|NULL|NULL|CVA-10|Gandía|VLC|38.95133870641585|-0.21147901075892153
zapopan|Zapopan|MEXICO (MX)|NULL|NULL|GUA-12|Zapopan|GDL|20.6719563|-103.41650099999998
silao|Silao|MEXICO (MX)|NULL|NULL|GUO-10|Silao|BJX|20.952141|-101.4282369
salamanca|Salamanca|MEXICO (MX)|NULL|NULL|GUO-30|Salamanca |CYW|20.5739314|-101.19571719999999
celaya|Celaya|MEXICO (MX)|NULL|NULL|GUO-40|Celaya|QRO|20.5279612|-100.81128849999999
castro|Castro|CHILE (CL)|NULL|NULL|HLE-27|Castro|PMC|-42.4801402|-73.76241370000002
mojacar|Mojácar|SPAIN (ES)|NULL|NULL|LEI-30|Mojácar|LEI|37.140279|-1.850733
roquetas-de-mar|Roquetas de Mar|SPAIN (ES)|NULL|NULL|LEI-40|Roquetas de Mar|LEI|36.763682|-2.615427
lloret-de-mar|Lloret de Mar|SPAIN (ES)|NULL|NULL|LLM-99|Lloret de Mar|BCN|41.700599|2.839819
las-palmas-de-gran-canaria|Las Palmas de Gran Canaria|SPAIN (ES)|28.1235|-15.4362|LPA-10|Las Palmas de Gran Canaria|LPA|28.1310776|-15.4392611
